,title,abstract,author,journal,year,pdf_link,keyword
0,The Klein-Gordon equation with light-cone data,,"LE Lundberg - Communications in Mathematical Physics, 1978",Spri,nger,https://link.springer.com/article/10.1007/BF01248666,
0,Quantization methods: a guide for physicists and analysts,,"ST Ali, M Engliš - Reviews in Mathematical Physics, 2005",World Scient,ific,https://www.worldscientific.com/doi/abs/10.1142/S0129055X05002376,
0,Computing quantum dynamics in the semiclassical regime,,"C Lasser, C Lubich - Acta Numerica, 2020",cambridge,.org,https://www.cambridge.org/core/journals/acta-numerica/article/computing-quantum-dynamics-in-the-semiclassical-regime/05B21469F9D9557EA7A0117B6C7954E3,
0,Introduction to partial differential equations,,"GB Folland - Introduction to Partial Differential Equations, 2020",degruyter,.com,https://www.degruyter.com/document/doi/10.1515/9780691213033/html,
0,Gauge algebra and quantization,,"IA Batalin, GA Vilkovisky - Quantum Gravity, 1984",Spri,nger,https://link.springer.com/chapter/10.1007/978-1-4613-2701-1_28,
0,The uncertainty principle: a mathematical survey,,"GB Folland, A Sitaram - Journal of Fourier analysis and applications, 1997",Spri,nger,https://link.springer.com/article/10.1007/BF02649110,
0,"Phase space: geography, relational thinking, and beyond",,"M Jones - Progress in human geography, 2009",journals.sagepub,.com,https://journals.sagepub.com/doi/abs/10.1177/0309132508101599,
0,Grassmannian frames with applications to coding and communication,,"T Strohmer, RW Heath Jr - Applied and computational harmonic analysis, 2003",Else,vier,https://www.sciencedirect.com/science/article/pii/S106352030300023X,
0,The chirplet transform: Physical considerations,,"S Mann, S Haykin - IEEE Transactions on Signal Processing, 1995",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/482123/,
0,The dilatation operator of conformal N= 4 super-Yang–Mills theory,,"N Beisert, C Kristjansen, M Staudacher - Nuclear Physics B, 2003",Else,vier,https://www.sciencedirect.com/science/article/pii/S0550321303004061,
0,Measuring time-frequency information content using the Rényi entropies,,"RG Baraniuk, P Flandrin… - … on Information theory, 2001",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/923723/,
0,Data compression and harmonic analysis,,"DL Donoho, M Vetterli, RA DeVore… - IEEE transactions on …, 1998",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/720544/,
0,Density theorems for sampling and interpolation in the Bargmann-Fock space I.,,K Seip,,1992,https://www.degruyter.com/document/doi/10.1515/crll.1992.429.91/html,
0,A comprehensive survey on impulse and Gaussian denoising filters for digital images,,"M Mafi, H Martin, M Cabrerizo, J Andrian, A Barreto… - Signal Processing, 2019",Else,vier,https://www.sciencedirect.com/science/article/pii/S0165168418303979,
0,Implicit neural representations with periodic activation functions,,"V Sitzmann, J Martel, A Bergman… - Advances in …, 2020",proceedings.neurip,s.cc,https://proceedings.neurips.cc/paper/2020/hash/53c04118df112c13a8c34b38343b9c10-Abstract.html,
0,Fast discrete curvelet transforms,,"E Candes, L Demanet, D Donoho, L Ying - multiscale modeling & simulation, 2006",,SIAM,https://epubs.siam.org/doi/abs/10.1137/05064182X,
0,The curvelet transform for image denoising,,"JL Starck, EJ Candès… - IEEE Transactions on …, 2002",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1014998/,
0,Curvelets: A surprisingly effective nonadaptive representation for objects with edges,,"EJ Candes, DL Donoho",,2000,https://apps.dtic.mil/sti/citations/ADP011978,
0,New tight frames of curvelets and optimal representations of objects with piecewise C2 singularities,,"EJ Candès, DL Donoho - … on Pure and Applied Mathematics: A …, 2004",Wiley Online Lib,rary,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpa.10116,
0,On the spectral bias of neural networks,,"N Rahaman, A Baratin, D Arpit… - International …, 2019",proceedings.mlr.p,ress,http://proceedings.mlr.press/v97/rahaman19a.html,
0,Approximate nonlinear forecasting methods,,"H White - Handbook of economic forecasting, 2006",Else,vier,https://www.sciencedirect.com/science/article/pii/S1574070605010098,
0,Image decomposition via the combination of sparse representations and a variational approach,,"JL Starck, M Elad, DL Donoho - IEEE transactions on image …, 2005",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1510691/,
0,Ridgelets: A key to higher-dimensional intermittency?,,"EJ Candès, DL Donoho - … of the Royal Society of London …, 1999",royalsocietypublishing,.org,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.1999.0444,
0,Gray and color image contrast enhancement by the curvelet transform,,"JL Starck, F Murtagh, EJ Candès… - IEEE Transactions on …, 2003",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1208320/,
0,The curvelet transform,,"J Ma, G Plonka - IEEE signal processing magazine, 2010",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/5438971/,
0,Redundant multiscale transforms and their application for morphological component separation,,"JL Starck, DL Donoho, M Elad",,2004,https://cds.cern.ch/record/896984/files/CM-P00052061.pdf,
0,"Digital curvelet transform: strategy, implementation, and experiments",,"DL Donoho, MR Duncan - Wavelet applications VII, 2000",spiedigitallibrary,.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4056/0000/Digital-curvelet-transform-strategy-implementation-and-experiments/10.1117/12.381679.short,
0,Fusion of multispectral and panchromatic satellite images using the curvelet transform,,"M Choi, RY Kim, MR Nam… - IEEE Geoscience and …, 2005",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1420291/,
0,Neural network with unbounded activation functions is universal approximator,,"S Sonoda, N Murata - Applied and Computational Harmonic Analysis, 2017",Else,vier,https://www.sciencedirect.com/science/article/pii/S1063520315001748,
0,Wave atoms and sparsity of oscillatory patterns,,"L Demanet, L Ying - Applied and Computational Harmonic Analysis, 2007",Else,vier,https://www.sciencedirect.com/science/article/pii/S1063520307000450,
0,Recovering edges in ill-posed inverse problems: Optimality of curvelet frames,,"EJ Candes, DL Donoho - The Annals of Statistics, 2002",projecteuclid,.org,https://projecteuclid.org/journals/annals-of-statistics/volume-30/issue-3/Recovering-edges-in-ill-posed-inverse-problems--optimality-of/10.1214/aos/1028674842.short,
0,Multi-sensor image fusion for pansharpening in remote sensing,,"M Ehlers, S Klonus, P Johan Åstrand… - International Journal of …, 2010",Taylor & Fra,ncis,https://www.tandfonline.com/doi/abs/10.1080/19479830903561985,
0,The curvelet representation of wave propagators is optimally sparse,,"EJ Candes, L Demanet - Communications on Pure and Applied …, 2005",Wiley Online Lib,rary,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpa.20078,
0,"New multiscale transforms, minimum total variation synthesis: Applications to edge-preserving image reconstruction",,"EJ Candes, F Guo - Signal Processing, 2002",Else,vier,https://www.sciencedirect.com/science/article/pii/S0165168402003006,
0,Astronomical image representation by the curvelet transform,,"JL Starck, DL Donoho, EJ Candès - Astronomy & Astrophysics, 2003",aanda,.org,https://www.aanda.org/articles/aa/full/2003/05/aa2574/node4.html,
0,"Curvelets, multiresolution representation, and scaling laws",,"EJ Candes, DL Donoho - … in Signal and Image Processing VIII, 2000",spiedigitallibrary,.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4119/0000/Curvelets-multiresolution-representation-and-scaling-laws/10.1117/12.408568.short,
0,Orthonormal ridgelets and linear singularities,,"DL Donoho - SIAM Journal on Mathematical Analysis, 2000",,SIAM,https://epubs.siam.org/doi/abs/10.1137/S0036141098344403,
0,A function space view of bounded norm infinite width relu nets: The multivariate case,,"G Ongie, R Willett, D Soudry, N Srebro - arXiv preprint arXiv:1910.01635, 2019",arxiv,.org,https://arxiv.org/abs/1910.01635,
0,Methods for performing fast discrete curvelet transforms of data,,"E Candes, D Donoho, L Demanet - US Patent 7,840,625, 2010",Google Pat,ents,https://patents.google.com/patent/US7840625/en,
0,Curvelets and curvilinear integrals,,"EJ Candès, DL Donoho - Journal of Approximation Theory, 2001",Else,vier,https://www.sciencedirect.com/science/article/pii/S002190450193624X,
0,Finding structure with randomness: Probabilistic algorithms for constructing approximate matrix decompositions,,"N Halko, PG Martinsson, JA Tropp - SIAM review, 2011",,SIAM,https://epubs.siam.org/doi/abs/10.1137/090771806,
0,Compressive sampling,,"EJ Candès - Proceedings of the international congress of …, 2006",academia,.edu,https://www.academia.edu/download/6282528/10.1.1.85.1434.pdf,
0,Compressed sensing,,"DL Donoho - IEEE Transactions on information theory, 2006",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1614066/,
0,Near-optimal signal recovery from random projections: Universal encoding strategies?,,"EJ Candes, T Tao - IEEE transactions on information theory, 2006",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/4016283/,
0,An invitation to compressive sensing,,"S Foucart, H Rauhut - A mathematical introduction to compressive sensing, 2013",Spri,nger,https://link.springer.com/chapter/10.1007/978-0-8176-4948-7_1,
0,The contourlet transform: an efficient directional multiresolution image representation,,"MN Do, M Vetterli - IEEE Transactions on image processing, 2005",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1532309/,
0,New tight frames of curvelets and optimal representations of objects with piecewise C2 singularities,,"EJ Candès, DL Donoho - … on Pure and Applied Mathematics: A …, 2004",Wiley Online Lib,rary,https://onlinelibrary.wiley.com/doi/abs/10.1002/cpa.10116,
0,Iterative thresholding for sparse approximations,,"T Blumensath, ME Davies - Journal of Fourier analysis and Applications, 2008",Spri,nger,https://link.springer.com/article/10.1007/s00041-008-9035-z,
0,Sparse directional image representations using the discrete shearlet transform,,"G Easley, D Labate, WQ Lim - Applied and Computational Harmonic …, 2008",Else,vier,https://www.sciencedirect.com/science/article/pii/S1063520307000875,
0,Beyond Nyquist: Efficient sampling of sparse bandlimited signals,,"JA Tropp, JN Laska, MF Duarte… - IEEE transactions on …, 2009",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/5361485/,
0,Computational methods for sparse solution of linear inverse problems,,"JA Tropp, SJ Wright - Proceedings of the IEEE, 2010",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/5456165/,
0,Imaging via compressive sampling,,"J Romberg - IEEE Signal Processing Magazine, 2008",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/4472239/,
0,Optimally sparse multidimensional representation using shearlets,,"K Guo, D Labate - SIAM journal on mathematical analysis, 2007",,SIAM,https://epubs.siam.org/doi/abs/10.1137/060649781,
0,The finite ridgelet transform for image representation,,"MN Do, M Vetterli - IEEE Transactions on image Processing, 2003",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/1187351/,
0,A stochastic grammar of images,,"SC Zhu, D Mumford - Foundations and Trends® in Computer …, 2007",nowpublishers,.com,https://www.nowpublishers.com/article/Details/CGV-018,
0,Sparse multidimensional representation using shearlets,,"D Labate, WQ Lim, G Kutyniok, G Weiss - Wavelets XI, 2005",spiedigitallibrary,.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5914/59140U/Sparse-multidimensional-representation-using-shearlets/10.1117/12.613494.short,
0,The discrete shearlet transform: a new directional transform and compactly supported shearlet frames,,"WQ Lim - IEEE Transactions on image processing, 2010",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/5398915/,
0,Optimal selection of wavelet basis function applied to ECG signal denoising,,"BN Singh, AK Tiwari - Digital signal processing, 2006",Else,vier,https://www.sciencedirect.com/science/article/pii/S1051200405001703,
0,Toeplitz compressed sensing matrices with applications to sparse channel estimation,,"J Haupt, WU Bajwa, G Raz… - IEEE transactions on …, 2010",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/5605341/,
0,Regularization of wavelet approximations,,"A Antoniadis, J Fan - Journal of the American Statistical Association, 2001",Taylor & Fra,ncis,https://www.tandfonline.com/doi/abs/10.1198/016214501753208942,
0,One network to solve them all--solving linear inverse problems using deep projection models,,"JH Rick Chang, CL Li, B Poczos… - Proceedings of the …, 2017",openaccess.thecvf,.com,http://openaccess.thecvf.com/content_iccv_2017/html/Chang_One_Network_to_ICCV_2017_paper.html,
0,Signal recovery from random projections,,"EJ Candes, JK Romberg - Computational Imaging III, 2005",spiedigitallibrary,.org,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/5674/0000/Signal-recovery-from-random-projections/10.1117/12.600722.short,
0,Segmentation of multivariate mixed data via lossy data coding and compression,,"Y Ma, H Derksen, W Hong… - IEEE transactions on …, 2007",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/4288157/,
0,Sampling moments and reconstructing signals of finite rate of innovation: Shannon meets Strang–Fix,,"PL Dragotti, M Vetterli, T Blu - IEEE Transactions on signal …, 2007",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/4156380/,
0,Quantized frame expansions with erasures,,"VK Goyal, J Kovačević, JA Kelner - Applied and Computational Harmonic …, 2001",Else,vier,https://www.sciencedirect.com/science/article/pii/S1063520300903403,
0,The mathematics of learning: Dealing with data,,"T Poggio, S Smale - Notices of the AMS, 2003",ams,.org,https://www.ams.org/journals/notices/200305/fea-smale.pdf,
0,Fifty years of Shannon theory,,"S Verdu - IEEE Transactions on information theory, 1998",monoskop,.org,https://monoskop.org/images/7/78/Verdu_Sergio_1998_Fifty_Years_of_Shannon_Theory.pdf,
0,Complete dictionary recovery over the sphere I: Overview and the geometric picture,,"J Sun, Q Qu, J Wright - IEEE Transactions on Information …, 2016",ieeexplore.ieee,.org,https://ieeexplore.ieee.org/abstract/document/7755794/,
0,The structure of compact groups,,"KH Hofmann, SA Morris - The Structure of Compact Groups, 2020",degruyter,.com,https://www.degruyter.com/document/doi/10.1515/9783110695991/html,
0,Topological groups,,"D Dikranjan - Encyclopedia of General Topology, 2003",Else,vier,https://www.sciencedirect.com/science/article/pii/B9780444503558500957,
0,On Mackey topology for groups,,"MJ Chasco, E Martín-Peinador, V Tarieladze",,1999,https://dadun.unav.edu/bitstream/10171/2023/1/1999.StudiaMat.pdf,
0,On comparison theorems for generalized moduli of continuity,,"J Boman - Linear Operators and Approximation II/Lineare …, 1974",Spri,nger,https://link.springer.com/chapter/10.1007/978-3-0348-5991-2_8,
0,Equivalence of generalized moduli of continuity,,"J Boman - Arkiv för Matematik, 1980",projecteuclid,.org,https://projecteuclid.org/journalArticle/Download?urlid=10.1007%2FBF02384682,
0,The concept of boundedness and the Bohr compactification of a MAP abelian group,,"J Galindo, S Hernández - Fundamenta Mathematicae, 1999",bibliotekanauk,i.pl,https://bibliotekanauki.pl/articles/1205259.pdf,
0,Relating a locally compact Abelian group to its Bohr compactification,,"WW Comfort, S Hernández, FJ Trigos-Arrieta - advances in mathematics, 1996",Else,vier,https://www.sciencedirect.com/science/article/pii/S0001870896900420,
0,Group valued null sequences and metrizable non-Mackey groups,,"D Dikranjan, E Martín-Peinador… - Forum Mathematicum, 2014",degruyter,.com,https://www.degruyter.com/document/doi/10.1515/forum-2011-0099/html,
0,Mackey groups and Mackey topologies,,"L Außenhofer, D Dikranjan - Dissertationes Mathematicae, 2021",impa,n.pl,https://www.impan.pl/en/publishing-house/journals-and-series/dissertationes-mathematicae/all/567/0/114383/mackey-groups-and-mackey-topologies,
0,Interpolation sets and the Bohr topology of locally compact groups,,"J Galindo, S Hernández - Advances in Mathematics, 2004",Else,vier,https://www.sciencedirect.com/science/article/pii/S000187080300286X,
0,On the non-existence of the Mackey topology for locally quasi-convex groups,,"L Außenhofer - Forum Mathematicum, 2018",degruyter,.com,https://www.degruyter.com/document/doi/10.1515/forum-2017-0179/html,
0,"Countable products and sums of lines and circles: their closed subgroups, quotients and duality properties",,"R Brown, PJ Higgins, SA Morris - Mathematical Proceedings of the …, 1975",cambridge,.org,https://www.cambridge.org/core/journals/mathematical-proceedings-of-the-cambridge-philosophical-society/article/countable-products-and-sums-of-lines-and-circles-their-closed-subgroups-quotients-and-duality-properties/2E3D65E468B76B7374F8633B56C5FDC5,
0,A survey on reflexivity of abelian topological groups,,"MJ Chasco, D Dikranjan, E Martín-Peinador - Topology and its Applications, 2012",Else,vier,https://www.sciencedirect.com/science/article/pii/S0166864112001861,
0,Topologies on the direct sum of topological abelian groups,,"MJ Chasco, X Domínguez - Topology and its Applications, 2003",Else,vier,https://www.sciencedirect.com/science/article/pii/S0166864103000890,
0,Topological groups with thin generating sets,,"D Dikranjan, M Tkačenko, V Tkachuk - Journal of Pure and Applied Algebra, 2000",Else,vier,https://www.sciencedirect.com/science/article/pii/S0022404998000759/pdf?md5=a0a3b0faf9afb193eb7a5592937a31d5&pid=1-s2.0-S0022404998000759-main.pdf,
0,Remarks on a theorem of Glicksberg,,"WW Comfort, FJ Trigos-Arrieta - General topology and …, 2020",taylorfrancis,.com,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003066743-3/remarks-theorem-glicksberg-comfort-javier-trigos-arrieta,
0,Pontryagin duality for topological abelian groups,,"S Hernández - Mathematische Zeitschrift, 2001",Spri,nger,https://link.springer.com/article/10.1007/s002090100263,
0,A property of Dunford-Pettis type in topological groups,,"E Martín-Peinador, V Tarieladze - Proceedings of the American …, 2004",ams,.org,https://www.ams.org/proc/2004-132-06/S0002-9939-03-07249-6/,
0,Characteristics of the Mackey topology for abelian topological groups,,"JMD Nieto, EM Peinador - Descriptive Topology and Functional Analysis, 2014",Spri,nger,https://link.springer.com/chapter/10.1007/978-3-319-05224-3_7,
0,Reflexivity of topological groups,,"P Nickolas - Proceedings of the American Mathematical Society, 1977",ams,.org,https://www.ams.org/proc/1977-065-01/S0002-9939-1977-0486276-0/,
0,Mackey topology on locally convex spaces and on locally quasi-convex groups. Similarities and historical remarks,,"E Martín-Peinador, V Tarieladze - Revista de la Real Academia de …, 2016",Spri,nger,https://link.springer.com/article/10.1007/s13398-015-0256-0,
0,Locally quasi-convex compatible topologies on a topological group,,"L Außenhofer, D Dikranjan, E Martín-Peinador - Axioms, 2015",mdpi,.com,https://www.mdpi.com/114102,
0,Shifts on Compact and Discrete Lie Groups: Algebraic–Topological Invariants and Classification Problems,,"F Fagnani - Advances in Mathematics, 1997",Else,vier,https://www.sciencedirect.com/science/article/pii/S0001870897916327,
0,L-Subalgebras of M (G),,"JL Taylor - Transactions of the American Mathematical Society, 1969",J,STOR,https://www.jstor.org/stable/1995005,
0,“Varopoulos paradigm”: Mackey property versus metrizability in topological groups,,"L Außenhofer, D de la Barrera Mayoral… - Revista matemática …, 2017",Spri,nger,https://link.springer.com/article/10.1007/s13163-016-0209-y,
0,Functions of measures on compact groups,,"JB Fountain, RW Ramsay, JH Williamson - Proceedings of the Royal Irish …, 1976",J,STOR,https://www.jstor.org/stable/20489049,
0,The Markov and Zariski topologies of some linear groups,,"D Dikranjan, D Toller - Topology and its Applications, 2012",Else,vier,https://www.sciencedirect.com/science/article/pii/S0166864112002179,
0,Groups of dualities,,"GD Dimov, W Tholen - Transactions of the American Mathematical Society, 1993",ams,.org,https://www.ams.org/tran/1993-336-02/S0002-9947-1993-1100693-0/,
0,The use of FFT techniques in physical geodesy,,"KP Schwarz, MG Sideris… - Geophysical Journal …, 1990",academic.oup,.com,https://academic.oup.com/gji/article-abstract/100/3/485/666648,
0,The development and evaluation of the Earth Gravitational Model 2008 (EGM2008),,"NK Pavlis, SA Holmes, SC Kenyon… - Journal of geophysical …, 2012",Wiley Online Lib,rary,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2011JB008916,
0,First GOCE gravity field models derived by three different approaches,,"R Pail, S Bruinsma, F Migliaccio, C Förste… - Journal of …, 2011",Spri,nger,https://link.springer.com/article/10.1007/s00190-011-0467-x,
0,GOCO05c: a new combined gravity field model based on full normal equations and regionally varying weighting,,"T Fecher, R Pail, T Gruber - Surveys in geophysics, 2017",Spri,nger,https://link.springer.com/article/10.1007/s10712-016-9406-y,
0,A unified approach to the Clenshaw summation and the recursive computation of very high degree and order normalised associated Legendre functions,,"SA Holmes, WE Featherstone - Journal of Geodesy, 2002",Spri,nger,https://link.springer.com/article/10.1007/s00190-002-0216-2,
0,Terrain-related gravimetric quantities computed for the next EGM,,"NK Pavlis, JK Factor, SA Holmes - Proceedings of the 1st …, 2007",researchgate,.net,https://www.researchgate.net/profile/N-Pavlis/publication/229045443_Terrain-related_gravimetric_quantities_computed_for_the_next_EGM/links/53ff0a6b0cf283c3583c3fec/Terrain-related-gravimetric-quantities-computed-for-the-next-EGM.pdf,
0,The development and analysis of geopotential coefficient models to spherical harmonic degree 360,,"RH Rapp, NK Pavlis - Journal of Geophysical Research: Solid …, 1990",Wiley Online Lib,rary,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/JB095iB13p21885,
0,GECO: a global gravity model by locally combining GOCE data and EGM2008,,"M Gilardoni, M Reguzzoni, D Sampietro - Studia Geophysica et …, 2016",Spri,nger,https://link.springer.com/article/10.1007/s11200-015-1114-4,
0,Global spherical harmonic analysis by least-squares and numerical quadrature methods in historical perspective,,"N Sneeuw - Geophysical Journal International, 1994",academic.oup,.com,https://academic.oup.com/gji/article-abstract/118/3/707/581995,
0,GEMMA: An Earth crustal model based on GOCE satellite data,,"M Reguzzoni, D Sampietro - … Journal of Applied Earth Observation and …, 2015",Else,vier,https://www.sciencedirect.com/science/article/pii/S0303243414000865,
0,Use of potential coefficient models for geoid undulation determinations using a spherical harmonic representation of the height anomaly/geoid undulation difference,,"RH Rapp - Journal of Geodesy, 1997",Spri,nger,https://link.springer.com/article/10.1007/s001900050096,
0,Comparisons of global topographic/isostatic models to the Earth's observed gravity field,,"R Rummel, RH Rapp, H Suenkel, CC Tscherning",,1988,https://ntrs.nasa.gov/citations/19880011368,
0,Gravitational potential harmonics from the shape of an homogeneous body,,"G Balmino - Celestial Mechanics and Dynamical Astronomy, 1994",Spri,nger,https://link.springer.com/article/10.1007/BF00691901,
0,Global Moho from the combination of the CRUST2. 0 model and GOCE data,,"M Reguzzoni, D Sampietro… - Geophysical Journal …, 2013",academic.oup,.com,https://academic.oup.com/gji/article-abstract/195/1/222/606769,
0,Satellite gradiometry,,"R Rummel - Mathematical and numerical techniques in physical …, 1986",Spri,nger,https://link.springer.com/content/pdf/10.1007/BFb0010135.pdf,
0,Fourier transform summation of Legendre series and D-functions,,"T Risbo - Journal of Geodesy, 1996",Spri,nger,https://link.springer.com/article/10.1007/BF01090814,
0,What Is the Spatial Resolution of grace Satellite Products for Hydrology?,,"BD Vishwakarma, B Devaraju, N Sneeuw - Remote Sensing, 2018",mdpi,.com,https://www.mdpi.com/299868,
0,Gravity field refinement by radial basis functions from in-situ satellite data,,A Eicker,,2008,https://core.ac.uk/download/pdf/304637637.pdf,
0,On the computation and approximation of ultra-high-degree spherical harmonic series,,"C Jekeli, JK Lee, JH Kwon - Journal of Geodesy, 2007",Spri,nger,https://link.springer.com/article/10.1007/s00190-006-0123-z,
0,Stability investigations of a discrete downward continuation problem for geoid determination in the Canadian Rocky Mountains,,"Z Martinec - Journal of Geodesy, 1996",Spri,nger,https://link.springer.com/article/10.1007/BF00867158,
0,A MATLAB-based graphical user interface program for computing functionals of the geopotential up to ultra-high degrees and orders,,"B Bucha, J Janák - Computers & Geosciences, 2013",Else,vier,https://www.sciencedirect.com/science/article/pii/S0098300413000769,
0,Spherical harmonic expansions of the Earth's gravitational potential to degree 360 using 30'mean anomalies,,"RH Rapp, JY Cruz",,1986,https://ntrs.nasa.gov/citations/19870009504,
0,Space-wise approach to satellite gravity field determination in the presence of coloured noise,,"F Migliaccio, M Reguzzoni, F Sanso - Journal of Geodesy, 2004",Spri,nger,https://link.springer.com/article/10.1007/s00190-004-0396-z,
0,The development of an isostatic gravitational model to degree 360 and its use in global gravity modelling,,"NK Pavlis, RH Rapp - Geophysical Journal International, 1990",academic.oup,.com,https://academic.oup.com/gji/article-abstract/100/3/369/663497,
0,Spherical spectral properties of the Earth's gravitational potential and its first and second derivatives,,"R Rummel - Geodetic Boundary Value Problems in View of the One …, 1997",Spri,nger,https://link.springer.com/chapter/10.1007/BFb0011710,
0,Gravity field determination and characteristics: retrospective and prospective,,"RS Nerem, C Jekeli, WM Kaula - Journal of Geophysical …, 1995",Wiley Online Lib,rary,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/94JB03257,
0,Optimal multi-step collocation: application to the space-wise approach for GOCE data analysis,,"M Reguzzoni, N Tselfes - Journal of Geodesy, 2009",Spri,nger,https://link.springer.com/article/10.1007/s00190-008-0225-x,
0,Gravity field determination from satellite gradiometry,,"R Rummel, OL Colombo - Bulletin géodésique, 1985",Spri,nger,https://link.springer.com/article/10.1007/BF02520329,
0,Global spherical harmonic computation by two-dimensional Fourier methods,,"N Sneeuw, R Bun - Journal of Geodesy, 1996",Spri,nger,https://link.springer.com/article/10.1007/BF00873703,
0,Calderón-Zygmund theory for operator-valued kernels,,"JLR de Francia, FJ Ruiz, JL Torrea - Advances in Mathematics, 1986",core.a,c.uk,https://core.ac.uk/download/pdf/81150095.pdf,
0,Harmonic analysis on nilpotent groups and singular integrals I. Oscillatory integrals,,"F Ricci, EM Stein - Journal of Functional Analysis, 1987",Else,vier,https://www.sciencedirect.com/science/article/pii/0022123687900644,
0,Polynomial growth estimates for multilinear singular integral operators,,"M Christ, JL Journé - Acta mathematica, 1987",projecteuclid,.org,https://projecteuclid.org/journalArticle/Download?urlid=10.1007%2FBF02392554,
0,"Hilbert integrals, singular integrals, and Radon transforms I",,"DH Phong, EM Stein - Acta mathematica, 1986",projecteuclid,.org,https://projecteuclid.org/journalArticle/Download?urlid=10.1007%2FBF02392592,
0,Singular integral operators with rough kernels supported by subvarieties,,"D Fan, Y Pan - American Journal of Mathematics, 1997",muse.jhu,.edu,https://muse.jhu.edu/article/755/summary,
0,Principal curvature and harmonic analysis,,"A Greenleaf - Indiana University Mathematics Journal, 1981",J,STOR,https://www.jstor.org/stable/24893018,
0,The development of square functions in the work of A. Zygmund,,"EM Stein - Bulletin of the American Mathematical Society, 1982",ams,.org,https://www.ams.org/bull/1982-07-02/S0273-0979-1982-15040-6/,
0,"Wave front sets, local smoothing and Bourgain's circular maximal theorem",,"G Mockenhaupt, A Seeger, CD Sogge - Annals of mathematics, 1992",J,STOR,https://www.jstor.org/stable/2946549,
0,Differentiation in lacunary directions,,"A Nagel, EM Stein, S Wainger - Proceedings of the …, 1978",National Acad Scie,nces,https://www.pnas.org/doi/abs/10.1073/pnas.75.3.1060,
0,Discrete analogues in harmonic analysis: spherical averages,,"Á Magyar, EM Stein, S Wainger - Annals of mathematics, 2002",J,STOR,https://www.jstor.org/stable/3062154,
0,Strong variational and jump inequalities in harmonic analysis,,"R Jones, A Seeger, J Wright - Transactions of the American Mathematical …, 2008",ams,.org,https://www.ams.org/journals/tran/2008-360-12/S0002-9947-08-04538-8/,
0,Fractional thoughts,,"N Garofalo - arXiv preprint arXiv:1712.03347, 2017",arxiv,.org,https://arxiv.org/abs/1712.03347,
0,Regularity of the fractional maximal function,,"J Kinnunen, E Saksman - Bulletin of the London Mathematical …, 2003",academic.oup,.com,https://academic.oup.com/blms/article-abstract/35/4/529/297191,
0,Lp harmonic analysis and Radon transforms on the Heisenberg group,,"RS Strichartz - Journal of functional Analysis, 1991",Else,vier,https://www.sciencedirect.com/science/article/pii/002212369190066E,
0,L^ p bounds for the function of Marcinkiewicz,,"A Al-Salman, H Al-Qassem, LC Cheng… - Mathematical Research …, 2002",researchgate,.net,https://www.researchgate.net/profile/Hussain-Al-Qassem/publication/229005810_L_p_bounds_for_the_function_of_Marcinkiewicz/links/548408d00cf2f5dd63a915f9/L-p-bounds-for-the-function-of-Marcinkiewicz.pdf,
0,Propagation of singularities and maximal functions in the plane,,"CD Sogge - Inventiones mathematicae, 1991",Spri,nger,https://link.springer.com/article/10.1007/BF01245080,
0,Averages of functions over hypersurfaces in ℝ n,,"CD Sogge, EM Stein - Inventiones mathematicae, 1985",researchgate,.net,https://www.researchgate.net/profile/Christopher-Sogge/publication/226238952_Averages_of_functions_over_hypersurfaces_in_Rn/links/00b495182d56d76b77000000/Averages-of-functions-over-hypersurfaces-in-Rn.pdf,
